product_id,product_name,category,sub_category,transaction_count,units_sold,total_sales,total_profit,avg_discount_pct,profit_margin_pct
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,5,20,61599.83,25199.94,12.0,40.91
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,10,31,27453.38,7753.06,24.0,28.24
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,8,38,18839.68,6983.89,20.0,37.07
TEC-CO-10003763,Canon PC1060 Personal Laser Copier,Technology,Copiers,4,19,11619.83,4570.94,15.0,39.34
TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard,Technology,Accessories,15,60,13756.54,4425.32,4.0,32.17
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,3,12,18374.9,4094.98,16.67,22.29
TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,2,11,7699.89,3772.95,0.0,49.0
TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,2,11,14299.89,3717.97,0.0,26.0
OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Office Supplies,Binders,3,13,15875.92,3345.29,33.33,21.07
TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,Technology,Machines,2,6,6965.7,3343.53,0.0,48.0
